Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
2001,Persons,25–34,32,1.15
2001,Persons,35–44,78,2.66
2001,Persons,45–54,124,4.73
2001,Persons,55–64,190,10.47
2001,Persons,65–74,258,19.64
2001,Persons,75–84,271,32.12
2001,Persons,85–94,108,41.03
2002,Females,15–24,2,0.3
2002,Females,25–34,10,0.72
2002,Females,35–44,28,1.85
2002,Females,45–54,39,2.92
2002,Females,55–64,39,4.13
2002,Females,65–74,63,9.26
2002,Females,75–84,95,18.98
2002,Females,85–94,53,28.17
2002,Males,15–24,5,0.7
2002,Males,25–34,17,1.21
2002,Males,35–44,49,3.32
2002,Males,45–54,81,6.13
2002,Males,55–64,123,12.7
2002,Males,65–74,191,29.72
2002,Males,75–84,180,49.04
2002,Males,85–94,77,90.98
2002,Persons,15–24,7,0.5
2002,Persons,25–34,27,0.97
2002,Persons,35–44,77,2.6
2002,Persons,45–54,120,4.53
2002,Persons,55–64,162,8.43
2002,Persons,65–74,254,19.19
2002,Persons,75–84,275,31.69
2002,Persons,85–94,130,47.68
2003,Females,15–24,1,0.2
2003,Females,25–34,9,0.65
2003,Females,35–44,25,1.65
2003,Females,45–54,53,3.91
2003,Females,55–64,59,5.93
2003,Females,65–74,80,11.61
2003,Females,75–84,104,20.23
2003,Females,85–94,51,26.57
2003,Males,15–24,4,0.3
2003,Males,25–34,10,0.7
2003,Males,35–44,46,3.13
2003,Males,45–54,97,7.27
2003,Males,55–64,143,14.13
2003,Males,65–74,179,27.54
2003,Males,75–84,213,55.82
2003,Males,85–94,72,82.62
2003,Persons,15–24,5,0.14
2003,Persons,25–34,19,0.7
2003,Persons,35–44,71,2.41
2003,Persons,45–54,150,5.54
2003,Persons,55–64,202,10.07
2003,Persons,65–74,259,19.36
2003,Persons,75–84,317,35.42
2003,Persons,85–94,123,44.03
2004,Females,15–24,3,0.4
2004,Females,25–34,13,0.86
2004,Females,35–44,26,1.76
2004,Females,45–54,45,3.27
2004,Females,55–64,62,5.97
2004,Females,65–74,70,10.06
2004,Females,75–84,102,19.45
2004,Females,85–94,62,31.58
2004,Males,15–24,6,0.9
2004,Males,25–34,18,1.22
2004,Males,35–44,43,2.91
2004,Males,45–54,121,8.95
2004,Males,55–64,146,13.9
2004,Males,65–74,170,25.77
2004,Males,75–84,233,58.98
2004,Males,85–94,78,86.85
2004,Persons,15–24,9,0.7
2004,Persons,25–34,31,1.08
2004,Persons,35–44,69,2.32
2004,Persons,45–54,166,6.1
2004,Persons,55–64,208,9.96
2004,Persons,65–74,240,17.73
2004,Persons,75–84,335,36.46
2004,Persons,85–94,140,48.92
2005,Females,15–24,2,0.3
2005,Females,25–34,6,0.4
2005,Females,35–44,28,1.85
2005,Females,45–54,55,3.94
2005,Females,55–64,65,6.03
2005,Females,65–74,75,10.64
